,name,Average Swaps,Average CNOTs,Average 4-block CNOTs,routability_score_all_blocks,routability_score_four_blocks
0,20QBT_200CYC_QSE_8,0.6828358208955224,1.1567164179104477,3.3529411764705883,6.223880597014926,27.607843137254903
1,20QBT_200CYC_QSE_3,0.5895522388059702,1.0820895522388059,3.3421052631578947,5.690298507462686,27.789473684210527
2,20QBT_100CYC_QSE_6,0.5111111111111111,1.0888888888888888,3.0476190476190474,5.844444444444444,28.0
3,20QBT_600CYC_QSE_9,0.4829086389061529,1.1100062150403978,3.25,5.889993784959602,27.78125
4,54QBT_200CYC_QSE_7,0.37655086848635233,0.9212158808933002,3.107142857142857,4.413151364764268,28.0
5,20QBT_100CYC_QSE_2,0.6062992125984252,1.1062992125984252,2.9615384615384617,6.429133858267717,27.846153846153847
6,20QBT_300CYC_QSE_3,0.5886157826649417,1.1733505821474774,3.070588235294118,6.61836998706339,27.811764705882354
7,20QBT_900CYC_QSE_7,0.4306321595248197,1.133644463300806,3.2690582959641254,6.247348324140857,27.730941704035875
8,54QBT_900CYC_QSE_1,0.5944359010205508,0.938207745002097,2.989247311827957,4.621557388508318,27.93548387096774
9,20QBT_200CYC_QSE_9,0.4657039711191336,1.0415162454873645,3.0789473684210527,5.6389891696750905,27.894736842105264
10,54QBT_100CYC_QSE_3,0.44214372716199757,0.9573690621193667,3.875,4.453105968331303,28.0
11,20QBT_600CYC_QSE_8,0.6026615969581749,1.132446134347275,3.448529411764706,6.056400506970849,27.764705882352942
12,20QBT_100CYC_QSE_0,0.6174242424242424,1.0643939393939394,3.8823529411764706,5.518939393939394,27.764705882352942
13,54QBT_200CYC_QSE_3,0.4562691131498471,0.9204892966360856,2.5483870967741935,4.445871559633027,28.0
14,54QBT_500CYC_QSE_6,0.0,0.9211478176995418,2.819672131147541,4.347721244272968,27.934426229508198
